Epoch,Loss_train
499,"(0.10412042587995529,)"
500,"(0.10408609360456467,)"
501,"(0.10405183583498001,)"
502,"(0.10401751846075058,)"
503,"(0.10398301482200623,)"
504,"(0.1039484366774559,)"
505,"(0.10391382873058319,)"
506,"(0.10387929528951645,)"
507,"(0.10384467244148254,)"
508,"(0.10381001234054565,)"
509,"(0.10377517342567444,)"
510,"(0.10374029725790024,)"
511,"(0.1037052795290947,)"
512,"(0.10367019474506378,)"
513,"(0.10363499820232391,)"
514,"(0.1035996675491333,)"
515,"(0.10356413573026657,)"
516,"(0.10352857410907745,)"
517,"(0.10349282622337341,)"
518,"(0.10345686972141266,)"
519,"(0.10342086106538773,)"
520,"(0.10338469594717026,)"
521,"(0.10334842652082443,)"
522,"(0.10331204533576965,)"
523,"(0.1032755896449089,)"
524,"(0.10323915630578995,)"
525,"(0.10320278257131577,)"
526,"(0.1031663566827774,)"
527,"(0.10312984138727188,)"
528,"(0.10309314727783203,)"
529,"(0.1030564233660698,)"
530,"(0.10301962494850159,)"
531,"(0.10298271477222443,)"
532,"(0.10294567793607712,)"
533,"(0.10290845483541489,)"
534,"(0.10287124663591385,)"
535,"(0.10283404588699341,)"
536,"(0.10279662907123566,)"
537,"(0.10275901108980179,)"
538,"(0.10272138565778732,)"
539,"(0.10268371552228928,)"
540,"(0.10264608263969421,)"
541,"(0.10260845720767975,)"
542,"(0.10257081687450409,)"
543,"(0.10253307223320007,)"
544,"(0.10249534994363785,)"
545,"(0.10245766490697861,)"
546,"(0.10241984575986862,)"
547,"(0.1023821085691452,)"
548,"(0.10234427452087402,)"
549,"(0.10230624675750732,)"
550,"(0.10226825624704361,)"
551,"(0.1022302433848381,)"
552,"(0.10219216346740723,)"
553,"(0.10215414315462112,)"
554,"(0.10211607813835144,)"
555,"(0.10207795351743698,)"
556,"(0.10203992575407028,)"
557,"(0.10200189799070358,)"
558,"(0.10196394473314285,)"
559,"(0.10192595422267914,)"
560,"(0.10188790410757065,)"
561,"(0.10184978693723679,)"
562,"(0.10181161016225815,)"
563,"(0.10177341103553772,)"
564,"(0.10173512250185013,)"
565,"(0.10169680416584015,)"
566,"(0.10165838152170181,)"
567,"(0.10161992907524109,)"
568,"(0.10158143937587738,)"
569,"(0.10154285281896591,)"
570,"(0.10150425881147385,)"
571,"(0.10146554559469223,)"
572,"(0.10142678022384644,)"
573,"(0.10138802975416183,)"
574,"(0.10134916007518768,)"
575,"(0.10131028294563293,)"
576,"(0.1012713760137558,)"
577,"(0.10123240947723389,)"
578,"(0.10119335353374481,)"
579,"(0.10115424543619156,)"
580,"(0.10111507773399353,)"
581,"(0.10107582807540894,)"
582,"(0.10103658586740494,)"
583,"(0.10099730640649796,)"
584,"(0.1009579673409462,)"
585,"(0.10091859847307205,)"
586,"(0.10087917000055313,)"
587,"(0.10083965212106705,)"
588,"(0.10079998522996902,)"
589,"(0.10076028853654861,)"
590,"(0.10072053968906403,)"
591,"(0.10068078339099884,)"
592,"(0.10064101964235306,)"
593,"(0.10060106962919235,)"
594,"(0.10056110471487045,)"
595,"(0.10052106529474258,)"
596,"(0.10048098862171173,)"
597,"(0.10044081509113312,)"
598,"(0.10040053725242615,)"
599,"(0.10036025941371918,)"
600,"(0.10031991451978683,)"
